School_Name,geometry,SA2_CODE21,SA2_NAME21
Pascoe Vale North Primary School,POINT (319192.6027923074 5823130.09994391),210031538,Pascoe Vale
Belle Vue Primary School,POINT (330805.6668636105 5816575.966991495),207011148,Balwyn North
St Albans East Primary School,POINT (307136.78419655154 5820535.467027621),213011334,St Albans - North
Sunshine Heights Primary School,POINT (307889.3876440956 5814996.072949544),213011338,Sunshine West
Sunshine North Primary School,POINT (309513.2861030882 5817277.6870822925),213011337,Sunshine North
Banyule Primary School,POINT (330654.4057501279 5820892.2657891065),209011198,Heidelberg - Rosanna
Rosanna Golf Links Primary School,POINT (330298.4184955659 5821827.4204265475),209011198,Heidelberg - Rosanna
Cheltenham East Primary School,POINT (330318.4249313099 5796279.46180958),208031188,Highett (East) - Cheltenham
Cranbourne South Primary School,POINT (346225.24654971884 5776315.583912417),212031303,Cranbourne South
Preston North East Primary School,POINT (326357.91573175543 5821975.18201476),209021428,Preston - East
Craigieburn Primary School,POINT (317537.59259194916 5838482.981419489),210051442,Craigieburn - North
Valkstone Primary School,POINT (329219.02775817685 5801879.485751209),208021426,Bentleigh East - North
Overport Primary School,POINT (335905.0173620767 5774720.477843748),214011371,Frankston
Wembley Primary School,POINT (312917.2912444242 5811912.1817703415),213031352,Yarraville
Rosamond Special School,POINT (311137.6012911942 5816467.974516466),213031347,Braybrook
Bonbeach Primary School,POINT (335577.7916655102 5785149.161655677),208031186,Chelsea - Bonbeach
Heatherhill Primary School,POINT (338201.66367602744 5796728.954655022),212041317,Springvale
Beaumaris North Primary School,POINT (327551.0455120585 5795224.644409873),208011168,Beaumaris
Yarraman Oaks Primary School,POINT (341150.6572308594 5795938.666057982),212041459,Noble Park - East
Mount Pleasant Road Nunawading Primary School,POINT (339838.8312051891 5811642.6872954),211041271,Nunawading
Glenroy West Primary School,POINT (315609.7163861213 5824860.438017966),210031536,Glenroy - West
Dandenong South Primary School,POINT (342959.85957889596 5792792.180087488),212041564,Dandenong - South
St Albans North Primary School,POINT (306309.46517155576 5821674.101983119),213011334,St Albans - North
Avondale Primary School,POINT (311586.7689923815 5817788.366428648),210011533,Avondale Heights
Beverley Hills Primary School,POINT (337985.87245598435 5815197.412016474),207021425,Doncaster East - South
Frankston Heights Primary School,POINT (337677.80261066393 5774609.5669106785),214011371,Frankston
Kerrimuir Primary School,POINT (335837.16598711995 5814328.929873717),207031164,Box Hill North
Heathmont East Primary School,POINT (346672.20037982095 5811577.647309379),211031267,Ringwood East
Strathmore North Primary School,POINT (316336.8440442848 5822667.344367119),210011231,Strathmore
Oakleigh South Primary School,POINT (332535.5789912681 5801104.254332654),212051326,Oakleigh - Huntingdale
Thomastown East Primary School,POINT (325832.6638080172 5827816.695720883),209041223,Thomastown
Mount Waverley Heights Primary School,POINT (333917.2737788549 5804827.935663805),212051324,Mount Waverley - South
East Bentleigh Primary School,POINT (330341.69221455563 5799693.635327848),208021427,Bentleigh East - South
Watsonia Primary School,POINT (331362.7170609151 5824967.493398056),209011204,Watsonia
Parktone Primary School,POINT (332115.5784034847 5793890.905257535),208031193,Mordialloc - Parkdale
Antonio Park Primary School,POINT (342092.80098601745 5813062.742191795),211041270,Mitcham (Vic.)
Kingsbury Primary School,POINT (327000.3992441822 5823879.222740592),209021205,Kingsbury
Ardeer Primary School,POINT (306304.2383996558 5816196.8970475895),213011328,Ardeer - Albion
Westall Primary School,POINT (336187.4274634118 5798960.128383006),212041310,Clayton South
Tullamarine Primary School,POINT (313070.7384259361 5825109.755072909),210051250,Tullamarine
Park Orchards Primary School,POINT (342888.349755306 5817148.433473391),211021261,Donvale - Park Orchards
Albion North Primary School,POINT (308241.34161115106 5818346.232583441),213011337,Sunshine North
Blackburn Lake Primary School,POINT (338605.37940557045 5811728.453998409),207031161,Blackburn
Laburnum Primary School,POINT (336237.5798753095 5811737.120899094),207031161,Blackburn
Heatherwood School,POINT (339597.2700635853 5814773.863669995),211021261,Donvale - Park Orchards
Pinewood Primary School,POINT (336652.2608507873 5804749.658101968),212051324,Mount Waverley - South
Broadmeadows Primary School,POINT (317329.8162425824 5827648.623261191),210051242,Broadmeadows
Moomba Park Primary School,POINT (320782.96991049417 5825995.725671133),210031237,Fawkner
Keilor Heights Primary School,POINT (312006.8487596777 5821164.231888026),210011534,Keilor East
Ainslie Parklands Primary School,POINT (347173.29282038624 5815645.126636056),211031451,Croydon - West
Parkmore Primary School,POINT (339615.7493885462 5809945.506366784),211041269,Forest Hill
Mullum Primary School,POINT (344997.8371323692 5815165.985611771),211031266,Ringwood
Cranbourne Park Primary School,POINT (348999.4903882266 5781238.503489712),212031300,Cranbourne
Viewbank Primary School,POINT (331696.0740159516 5821899.358201311),209011203,Viewbank - Yallambie
Greenhills Primary School,POINT (334127.08615465986 5826660.849487081),209011197,Greensborough
Upwey South Primary School,POINT (352922.75555559853 5802502.43664398),211051284,Upwey - Tecoma
Eltham East Primary School,POINT (337361.75883850735 5824599.45068801),209031209,Eltham
Belvedere Park Primary School,POINT (337541.55418155045 5780376.182588258),214011375,Seaford (Vic.)
Essex Heights Primary School,POINT (334243.45825318847 5807713.022859329),212051323,Mount Waverley - North
Mountain Gate Primary School,POINT (347843.91458444705 5805456.678183761),211011448,Ferntree Gully (South) - Upper Ferntree Gully
Fairhills Primary School,POINT (347378.9042352572 5807234.041750047),211011447,Ferntree Gully - North
Boronia West Primary School,POINT (348559.6327585063 5808481.351570621),211011446,Boronia
Southmoor Primary School,POINT (329262.9276680249 5798930.740454294),208031191,Moorabbin - Heatherton
Ringwood Heights Primary School,POINT (343054.2577670455 5814408.738296918),211031268,Ringwood North
Glenroy Specialist School,POINT (316675.03002951393 5825505.87649995),210031535,Glenroy - East
Ruskin Park Primary School,POINT (349994.34863110975 5815125.395858059),211031450,Croydon - East
Emerson School,POINT (342605.30351574766 5796014.52738559),212041563,Dandenong - North
Karingal Primary School,POINT (338072.6859278666 5777269.546163182),214011372,Frankston North
Mount View Primary School,POINT (339845.02401416795 5805549.714242662),212051321,Glen Waverley - East
Syndal South Primary School,POINT (336712.3187282138 5805975.276155964),212051324,Mount Waverley - South
Montmorency South Primary School,POINT (335170.2543008755 5823057.393514361),209011202,Montmorency - Briar Hill
Altona North Primary School,POINT (310734.5077532714 5810092.439254846),213021343,Altona North
Burwood Heights Primary School,POINT (338398.98055516114 5809598.630324793),207031166,Burwood East
Watsonia Heights Primary School,POINT (332598.7907116857 5824074.61899269),209011197,Greensborough
Pembroke Primary School,POINT (352726.5711884963 5815412.284930419),211051281,Mooroolbark
Mahogany Rise Primary School,POINT (338494.3076054999 5778643.384152944),214011372,Frankston North
Bundoora Primary School,POINT (329253.8050610523 5824889.726652514),209011196,Bundoora - East
University Park Primary School,POINT (306463.21062131255 5819107.389727732),213011335,St Albans - South
St Albans Heights Primary School,POINT (307090.1680996703 5819814.911298753),213011335,St Albans - South
Hume Valley School,POINT (317180.16852845077 5828510.149888718),210051243,Campbellfield - Coolaroo
Mentone Park Primary School,POINT (331621.5811763299 5794668.941474912),208031190,Mentone
Donvale Primary School,POINT (339222.34575138066 5814758.774986334),211021261,Donvale - Park Orchards
Boronia Heights Primary School,POINT (350114.8616603812 5810062.759528191),211011446,Boronia
Glenallen School,POINT (338355.31737525994 5804978.777375175),212051322,Glen Waverley - West
Bayswater South Primary School,POINT (347045.04405070306 5808859.536865842),211011251,Bayswater
Seaford North Primary School,POINT (336329.7817197107 5782536.6324853115),214011375,Seaford (Vic.)
Lalor East Primary School,POINT (326762.2855378239 5828252.532291176),209041223,Thomastown
Jackson School,POINT (307444.9878594192 5819004.929843849),213011335,St Albans - South
Carlton Primary School,POINT (321308.1015198889 5814923.168340705),206041117,Carlton
Templestowe Valley Primary School,POINT (333462.84774808545 5819062.343810651),207021160,Templestowe Lower
Highvale Primary School,POINT (339392.4068418511 5807368.0272090975),212051321,Glen Waverley - East
Watsonia North Primary School,POINT (330782.54547196353 5825691.609654315),209011204,Watsonia
Wooranna Park Primary School,POINT (343310.4430489661 5797095.940860882),212041312,Dandenong North
Knox Park Primary School,POINT (346229.3840280843 5805655.232090431),211011254,Knoxfield - Scoresby
Birralee Primary School,POINT (333886.04624795 5815428.709301142),207021157,Doncaster
Derinya Primary School,POINT (335408.07214114355 5773161.761071445),214011373,Frankston South
Thomastown West Primary School,POINT (323702.5291990363 5827952.4709894955),209041223,Thomastown
Rowville Primary School,POINT (345055.06726787984 5801271.830141161),211011256,Rowville - Central
Mossfiel Primary School,POINT (297363.2506801884 5805787.190744134),213051362,Hoppers Crossing - South
Templestowe Heights Primary School,POINT (334355.87167504296 5818347.69695776),207021160,Templestowe Lower
Ballam Park Primary School,POINT (338619.5714424376 5776221.366021429),214011372,Frankston North
Sunbury West Primary School,POINT (298032.777008262 5838901.280998244),210041540,Sunbury - South
Gladstone Park Primary School,POINT (313651.1021061348 5826793.757736619),210051245,Gladstone Park - Westmeadows
Manchester Primary School,POINT (351119.4943904914 5818121.647377839),211051281,Mooroolbark
Glendal Primary School,POINT (338070.3966235374 5807335.390441638),212051322,Glen Waverley - West
Bimbadeen Heights Primary School,POINT (352143.5643666126 5817959.17313822),211051281,Mooroolbark
Wattle View Primary School,POINT (348554.5069490856 5806565.4002372045),211011447,Ferntree Gully - North
Sherbourne Primary School,POINT (335171.7678269709 5824835.740059207),209011202,Montmorency - Briar Hill
Donburn Primary School,POINT (338466.88087886036 5816181.49450838),207021425,Doncaster East - South
Royal Childrens Hospital Education Institute,POINT (319589.7592260358 5815024.444723658),206041124,Parkville
Vermont South Special School,POINT (339932.4772723883 5809141.345703123),211041273,Vermont South
Concord School,POINT (330301.2819928688 5825504.117361875),209011196,Bundoora - East
Deer Park West Primary School,POINT (303105.09088752867 5817128.063494554),213011569,Deer Park
Campbellfield Heights Primary School,POINT (320612.30513407197 5828371.099010067),210051243,Campbellfield - Coolaroo
Lalor North Primary School,POINT (326115.9078006437 5829618.83221575),209041529,Lalor - East
Melton West Primary School,POINT (285483.7391866351 5827184.031330893),213041358,Melton West
Diamond Creek East Primary School,POINT (338227.591091839 5828750.231261608),209031215,Wattle Glen - Diamond Creek
Brandon Park Primary School,POINT (339423.08218670264 5802118.018208246),212051327,Wheelers Hill
Bayswater West Primary School,POINT (346302.70148048416 5809492.811201919),211011251,Bayswater
Mornington Park Primary School,POINT (330080.19305311056 5767324.471404881),214021591,Mornington - East
Aldercourt Primary School,POINT (338844.43649931584 5779649.435747651),214011372,Frankston North
Richmond West Primary School,POINT (323577.9086168711 5812970.522956693),206071518,Richmond - North
Marlborough Primary School,POINT (344506.6890398883 5810864.289914006),211031267,Ringwood East
Stevensville Primary School,POINT (304487.7757417906 5821147.019874502),213011334,St Albans - North
Birmingham Primary School,POINT (356327.85530297644 5817387.254285535),211051283,Mount Evelyn
Woodville Primary School,POINT (296963.0105773135 5804568.068344898),213051362,Hoppers Crossing - South
Glengala Primary School,POINT (307546.7938518941 5814236.399501089),213011338,Sunshine West
Karingal Heights Primary School,POINT (339353.9543171157 5776899.769487779),214011372,Frankston North
Wallarano Primary School,POINT (339351.7610640896 5794867.814831612),212041460,Noble Park - West
Victoria Road Primary School,POINT (353425.3832513796 5820044.365761608),211051278,Lilydale - Coldstream
Mooroolbark East Primary School,POINT (353451.7041311995 5816535.182182176),211051281,Mooroolbark
Ardeer South Primary School,POINT (306192.162207352 5815380.4082396645),213011338,Sunshine West
Gladesville Primary School,POINT (352373.79834666266 5813818.720225433),211051277,Kilsyth
Debney Meadows Primary School,POINT (318176.1905490368 5815922.570575856),206031115,Flemington
Fountain Gate Primary School,POINT (350336.87280197255 5791768.482595856),212021456,Narre Warren - South West
Tinternvale Primary School,POINT (347320.8661262394 5812915.060721677),211031267,Ringwood East
Naranga Special School,POINT (339032.53514407366 5776262.861379825),214011372,Frankston North
Kent Park Primary School,POINT (347225.522734063 5805689.385580624),211011448,Ferntree Gully (South) - Upper Ferntree Gully
Deer Park North Primary School,POINT (303907.9334957548 5818908.183323137),213011569,Deer Park
Rosewood Downs Primary School,POINT (343021.32874721393 5798880.913003566),212041312,Dandenong North
Coburn Primary School,POINT (285989.7471865303 5825266.063933797),213041578,Melton South - Weir Views
Manorvale Primary School,POINT (292828.13226130325 5803322.012003507),213051468,Werribee - West
Gladstone Views Primary School,POINT (314695.4243523979 5826610.7530712485),210051245,Gladstone Park - Westmeadows
Wheelers Hill Primary School,POINT (339773.9194863449 5803695.630242395),212051327,Wheelers Hill
Ashwood School,POINT (333489.95797799283 5808067.4364861855),212051319,Ashwood - Chadstone
Broadmeadows Valley Primary School,POINT (316063.7219943999 5827486.1996568255),210051242,Broadmeadows
Bulleen Heights School,POINT (332207.39633909776 5818739.366177381),207021156,Bulleen
Kingston Heath Primary School,POINT (331254.5088260792 5796574.14466798),208031188,Highett (East) - Cheltenham
Andersons Creek Primary School,POINT (342096.0933042826 5820607.642741535),211021262,Warrandyte - Wonga Park
Waverley Meadows Primary School,POINT (340393.6629059271 5802089.249511649),212051327,Wheelers Hill
Kingswood Primary School,POINT (335229.4205521888 5794410.540269008),212041313,Dingley Village
Ascot Vale Heights School,POINT (317908.0033258019 5816933.588833857),206031113,Ascot Vale
Camelot Rise Primary School,POINT (340593.80034804123 5807584.597820983),212051321,Glen Waverley - East
Livingstone Primary School,POINT (339942.4211719668 5808947.280098911),211041273,Vermont South
St Albans Meadows Primary School,POINT (307755.29978868517 5819306.400822995),213011335,St Albans - South
Silverton Primary School,POINT (341223.89304168784 5798277.889226674),212041316,Noble Park North
Kalinda Primary School,POINT (346335.4137705289 5816127.912655966),211031266,Ringwood
Coldstream Primary School,POINT (357487.3489533099 5822626.240445631),211051278,Lilydale - Coldstream
Templestowe Park Primary School,POINT (336437.9080135731 5819603.709701354),207021159,Templestowe
River Gum Primary School,POINT (347343.60862200934 5788912.448424068),212031562,Hampton Park - West
Regency Park Primary School,POINT (344828.7579034067 5808821.283804192),211011259,Wantirna
Dorset Primary School,POINT (349100.4628256686 5813872.530740883),211031450,Croydon - East
Eastbourne Primary School,POINT (315114.29448241065 5750593.779250225),214021384,Rosebud - McCrae
Thomastown Meadows Primary School,POINT (323033.57258223614 5827506.325104082),209041223,Thomastown
Kingsley Park Primary School,POINT (338439.00232297764 5773928.695619843),214011371,Frankston
James Cook Primary School,POINT (345940.6356236199 5795056.810487803),212021454,Endeavour Hills - South
Movelle Primary School,POINT (303976.47591377667 5820956.119757817),213011333,Kings Park (Vic.)
Mount Eliza North Primary School,POINT (333652.78416468215 5771576.186613631),214021381,Mount Eliza
Yarrabah School,POINT (332918.7228234315 5790923.323645249),208031189,Edithvale - Aspendale
Frankston Special Developmental School,POINT (339655.03581782896 5776703.674474571),214011372,Frankston North
Waratah Special Developmental School,POINT (327405.99895203556 5819417.25782337),209011199,Heidelberg West
Port Phillip Specialist School,POINT (318901.01424693014 5810297.611028241),206051130,Port Melbourne
Monash Special Developmental School,POINT (338752.1231096417 5802919.635644834),212051327,Wheelers Hill
Iramoo Primary School,POINT (291485.96971827897 5803086.991243687),213051590,Wyndham Vale - South
Weeden Heights Primary School,POINT (339689.4157936161 5808246.339347152),211041273,Vermont South
Mill Park Primary School,POINT (329433.5960760707 5828526.790522752),209041221,Mill Park - South
Diamond Valley Special Developmental School,POINT (333497.49176547443 5827262.047707785),209031213,Plenty - Yarrambat
Melton Specialist School,POINT (285557.0268242364 5826842.800925124),213041358,Melton West
Springvale Park Special Developmental School,POINT (337835.079056083 5798197.004388559),212041317,Springvale
Warringa Park School,POINT (296643.6029400276 5804530.173433864),213051362,Hoppers Crossing - South
Serpell Primary School,POINT (337552.2292019734 5818112.751373764),207021159,Templestowe
Mount Martha Primary School,POINT (326257.1878774046 5761744.388557591),214021382,Mount Martha
Altona Meadows Primary School,POINT (304706.996781877 5806430.513207564),213021342,Altona Meadows
The Patch Primary School,POINT (358685.16658402083 5804903.634606291),211051282,Mount Dandenong - Olinda
Jells Park Primary School,POINT (341121.43002854043 5803425.472084978),212051327,Wheelers Hill
Albanvale Primary School,POINT (303910.29410567135 5820253.93939089),213011333,Kings Park (Vic.)
Kismet Park Primary School,POINT (299398.18710255437 5839994.772357946),210041240,Sunbury
Kunyung Primary School,POINT (331521.961964507 5771612.150169651),214021381,Mount Eliza
Apollo Parkways Primary School,POINT (333341.961100016 5827187.867065361),209031213,Plenty - Yarrambat
Bethal Primary School,POINT (316337.0582529462 5829956.9105824465),210051247,Meadow Heights
Cranbourne West Primary School,POINT (348117.2370215273 5781371.942263414),212031300,Cranbourne
Patterson Lakes Primary School,POINT (337265.23118203925 5784811.146356068),208031185,Carrum - Patterson Lakes
Seaford Park Primary School,POINT (338189.41794779897 5780921.949983648),214011375,Seaford (Vic.)
Billanook Primary School,POINT (353839.55253639864 5812307.613715888),211051280,Montrose
Chirnside Park Primary School,POINT (351232.9631675356 5820572.267544663),211051275,Chirnside Park
Templeton Primary School,POINT (344501.0305339973 5808141.299747413),211011259,Wantirna
Sunbury Heights Primary School,POINT (297523.5693503658 5838184.913143701),210041541,Sunbury - West
Darley Primary School,POINT (273898.95483203244 5829340.57005663),213041353,Bacchus Marsh
Wallaroo Primary School,POINT (340217.10664606804 5759553.28766935),214021379,Hastings - Somers
Mossgiel Park Primary School,POINT (347839.4944676456 5796276.771898266),212021453,Endeavour Hills - North
Wedge Park Primary School,POINT (284307.04357362876 5827359.942597233),213041358,Melton West
Croydon Special Developmental School,POINT (348674.27037984197 5813248.657735779),211031452,Croydon South
Milgate Primary School,POINT (339288.8495526354 5817713.904566309),207021424,Doncaster East - North
Berwick Lodge Primary School,POINT (353209.86633410945 5789409.71594393),212021293,Berwick - North
Furlong Park School For Deaf Children,POINT (308597.25883620523 5818430.009036848),213011337,Sunshine North
Jennings Street School,POINT (304137.7035944449 5807787.098287044),213051363,Laverton
Sunbury And Macedon Ranges Specialist School,POINT (299539.05579190585 5836581.737125725),210041540,Sunbury - South
Northern School For Autism,POINT (326323.54084953526 5825577.9254361),209021523,Reservoir - North East
Botanic Ridge Primary School,POINT (349996.83493020094 5776149.647974346),212031303,Cranbourne South
Burwood East Special Developmental School,POINT (336560.1688859898 5808402.213898586),207031166,Burwood East
Meadow Heights Primary School,POINT (316846.54777094466 5830942.955712978),210051247,Meadow Heights
Peninsula Specialist College,POINT (326098.92783869454 5754382.251001071),214021377,Dromana
Chalcot Lodge Primary School,POINT (346083.6368895763 5796095.168246036),212021453,Endeavour Hills - North
Rangebank Primary School,POINT (348830.9273380594 5783089.145311397),212031300,Cranbourne
Knox Gardens Primary School,POINT (344307.5551629411 5805768.83378951),211011260,Wantirna South
Southern Cross Primary School,POINT (347589.77804001723 5794069.82797261),212021454,Endeavour Hills - South
Kings Park Primary School,POINT (303275.2578795664 5821445.721612416),213011333,Kings Park (Vic.)
Dandenong Valley Special Developmental School,POINT (350403.4096608996 5791971.724453729),212021456,Narre Warren - South West
Mornington Special Developmental School,POINT (329942.9430636252 5767312.710124721),214021591,Mornington - East
Bayside Special Developmental School,POINT (329253.0346270236 5798688.521406223),208031191,Moorabbin - Heatherton
Rolling Hills Primary School,POINT (352631.2040008748 5818772.628759011),211051281,Mooroolbark
Craigieburn South Primary School,POINT (317804.40613857366 5835590.204165173),210051443,Craigieburn - South
Findon Primary School,POINT (328108.68797644577 5829399.63226434),209041221,Mill Park - South
Yarra Ranges Special Developmental School,POINT (357759.0332904818 5817918.226486409),211051283,Mount Evelyn
Goonawarra Primary School,POINT (301415.6094150485 5838347.886330984),210041240,Sunbury
Southern Autistic School,POINT (329678.61705800716 5800544.670485492),208021427,Bentleigh East - South
Bellbridge Primary School,POINT (298647.9334730663 5806018.689740978),213051361,Hoppers Crossing - North
Croydon Hills Primary School,POINT (347825.0115636131 5817556.390587483),211031265,Croydon Hills - Warranwood
Kurunjang Primary School,POINT (287124.8013767286 5827993.79744353),213041576,Kurunjang - Toolern Vale
Langwarrin Park Primary School,POINT (342502.0929846327 5775913.458627386),214011374,Langwarrin
Taylors Lakes Primary School,POINT (305525.47488859715 5824108.288612587),213011340,Taylors Lakes
Glen Katherine Primary School,POINT (335990.4445603484 5826953.373596473),209011197,Greensborough
Coburg Special Developmental School,POINT (319508.26355237956 5821842.5417395355),206011498,Coburg - West
Broadmeadows Special Developmental School,POINT (316064.3396182223 5827458.458452234),210051242,Broadmeadows
Sunshine Special Developmental School,POINT (308070.7555186594 5813755.672257755),213011338,Sunshine West
Richmond Primary School,POINT (323908.9508781638 5811208.014978744),206071517,Richmond (South) - Cremorne
Yarra Primary School,POINT (324613.80040524446 5812880.557170562),206071518,Richmond - North
Yarraville Special Developmental School,POINT (313721.0147365846 5812277.941408372),213031352,Yarraville
Park Ridge Primary School,POINT (347273.98398942966 5801814.120801566),211011256,Rowville - Central
Merriang Special Developmental School,POINT (324935.86701059656 5829250.899324675),209041530,Lalor - West
Orchard Grove Primary School,POINT (336910.76597613504 5810292.982299),207031162,Blackburn South
Meadowglen Primary School,POINT (328232.13827417104 5832038.681719009),209041431,Epping - East
Altona Green Primary School,POINT (305211.2091195041 5804435.022328011),213021342,Altona Meadows
Boroondara Park Primary School,POINT (331635.12581095163 5815824.783693345),207011148,Balwyn North
Western Autistic School,POINT (304513.63966858434 5808414.512767354),213051363,Laverton
Coral Park Primary School,POINT (348577.23889009934 5787914.208102654),212031561,Hampton Park - East
Maramba Primary School,POINT (351107.9116347196 5792446.363396042),212021455,Narre Warren - North East
Thomas Mitchell Primary School,POINT (348408.29421454977 5794936.440082052),212021454,Endeavour Hills - South
Karoo Primary School,POINT (347319.0046205069 5803267.970158795),211011257,Rowville - North
Mackellar Primary School,POINT (304113.73994408606 5823233.290795319),213011331,Delahey
Aspendale Gardens Primary School,POINT (334703.3728843514 5790013.825726554),208031183,Aspendale Gardens - Waterways
Berwick Fields Primary School,POINT (353855.73473521014 5787467.71227298),212021554,Berwick - South West
Brentwood Park Primary School,POINT (355038.16924650513 5787018.181132356),212021553,Berwick - South East
Eastern Ranges School,POINT (349170.7803479868 5806066.153636392),211011447,Ferntree Gully - North
Edgars Creek Primary School,POINT (323696.7555556459 5835596.706680426),209041437,Wollert
Eynesbury Primary School,POINT (284052.1323188741 5814658.179082282),213041573,Eynesbury - Exford
Cambridge Primary School,POINT (295550.9149897405 5806351.843852825),213051362,Hoppers Crossing - South
Rowellyn Park Primary School,POINT (341520.8966133832 5781056.338476161),214011370,Carrum Downs
Baden Powell P-9 College,POINT (296878.8069288692 5807223.172207723),213051361,Hoppers Crossing - North
Woodlands Primary School,POINT (342690.18062910833 5777608.886211161),214011374,Langwarrin
Mill Park Heights Primary School,POINT (328147.5200191814 5830418.401705623),209041220,Mill Park - North
Monmia Primary School,POINT (305393.78407005034 5823259.141057091),213011332,Keilor Downs
Seabrook Primary School,POINT (302813.6801512437 5805258.230353025),213021345,Seabrook
Willmott Park Primary School,POINT (316592.18253675743 5837447.4227991775),210051441,Craigieburn - Central
Thomas Chirnside Primary School,POINT (292325.3021189148 5802294.340240747),213051468,Werribee - West
Heany Park Primary School,POINT (345585.26303968835 5800060.808734997),211011258,Rowville - South
Kilberry Valley Primary School,POINT (349015.4171739685 5788997.9507300835),212031561,Hampton Park - East
Killara Primary School,POINT (297266.3277249109 5840105.0557064945),210041541,Sunbury - West
Orchard Park Primary School,POINT (359325.4064335397 5786882.3855727045),212011546,Beaconsfield - Officer
Riverwalk Primary School,POINT (292502.9232056312 5800318.9092697995),213051468,Werribee - West
Niddrie Autistic School,POINT (313835.63587521564 5820494.070941256),210011230,Niddrie - Essendon West
Oatlands Primary School,POINT (352173.71389454836 5792132.722234273),212021455,Narre Warren - North East
Westgrove Primary School,POINT (294160.2019178376 5805083.393449812),213051467,Werribee - East
Pentland Primary School,POINT (272689.33460742986 5829242.988213577),213041353,Bacchus Marsh
Pakenham Hills Primary School,POINT (367919.3183098376 5786387.938827821),212011549,Pakenham - North East
Courtenay Gardens Primary School,POINT (349450.16659016465 5783904.283652525),212031560,Cranbourne North - West
Somerville Rise Primary School,POINT (339630.66517241194 5767075.083897096),214021385,Somerville
Grayling Primary School,POINT (357294.8274180654 5783755.794415402),212031555,Clyde North - North
Niddrie Primary School,POINT (313042.27744583646 5821928.301698677),210011226,Airport West
Keelonith Primary School,POINT (312807.9894329887 5833874.544375313),210051246,Greenvale - Bulla
Toolern Vale and District Primary School,POINT (287639.4606955977 5835147.133840788),213041576,Kurunjang - Toolern Vale
Parkhill Primary School,POINT (333471.6933693209 5807709.6131563075),212051319,Ashwood - Chadstone
Kananook Primary School,POINT (336243.9655317208 5778649.44312625),214011375,Seaford (Vic.)
Roberts McCubbin Primary School,POINT (335022.4599782481 5810861.385490928),207031163,Box Hill
Bayles Regional Primary School,POINT (374399.6929124485 5773681.113918537),212011548,Koo Wee Rup
Le Page Primary School,POINT (330286.1616014187 5796944.880135992),208031188,Highett (East) - Cheltenham
Glen Waverley Primary School,POINT (338839.1626668832 5806502.431976402),212051321,Glen Waverley - East
Carrington Primary School,POINT (345813.9451664099 5804776.067451389),211011254,Knoxfield - Scoresby
Albany Rise Primary School,POINT (339421.4557881976 5800586.087488883),212051325,Mulgrave
Amsleigh Park Primary School,POINT (333723.95543638617 5803558.496279828),212051326,Oakleigh - Huntingdale
Knox Central Primary School,POINT (346497.59781456564 5808154.4547789525),211011446,Boronia
Mount Waverley North Primary School,POINT (336516.3387186163 5807200.234396758),212051323,Mount Waverley - North
Rangeview Primary School,POINT (342147.7418444188 5811577.46353074),211041270,Mitcham (Vic.)
Carwatha College P-12,POINT (340845.45007379306 5798979.870338411),212041316,Noble Park North
Glen Waverley South Primary School,POINT (338889.1872224579 5804045.723511231),212051321,Glen Waverley - East
Streeton Primary School,POINT (332744.2120194067 5823382.658843379),209011203,Viewbank - Yallambie
Millwarra Primary School,POINT (381237.9118820393 5820757.32930379),211051286,Yarra Valley
Roxburgh Homestead Primary School,POINT (316134.2797061596 5832965.459921492),210051544,Roxburgh Park (South) - Somerton
Dinjerra Primary School,POINT (311230.8049078819 5815132.249721807),213031347,Braybrook
Belle Vue Park Primary School,POINT (318743.5523874705 5825347.273440022),210031535,Glenroy - East
Doncaster Gardens Primary School,POINT (336902.37501962273 5816800.028141695),207021425,Doncaster East - South
Strathaird Primary School,POINT (349719.73421163234 5785796.315868699),212031458,Narre Warren South - West
Marnebek School Cranbourne,POINT (350656.04336564353 5780587.51154559),212031558,Cranbourne East - South
Great Ryrie Primary School,POINT (344893.015189044 5812271.320910357),211031267,Ringwood East
Timbarra P-9 College,POINT (352757.4083602085 5791129.837076383),212021293,Berwick - North
Parkwood Green Primary School,POINT (301150.43115002697 5825163.215004316),213041575,Hillside
Hillsmeade Primary School,POINT (351524.9718086786 5785651.79980132),212031457,Narre Warren South - East
Roxburgh Park Primary School,POINT (317473.9403769437 5832753.094242271),210051544,Roxburgh Park (South) - Somerton
Carranballac P-9 College,POINT (301530.37841161515 5804572.166824044),213051580,Point Cook - North East
Benton Junior College,POINT (330333.10005772015 5765118.248124371),214021591,Mornington - East
Caulfield Primary School,POINT (325891.39350435045 5804758.0498198345),208021178,Caulfield - South
Roxburgh Rise Primary School,POINT (316732.5084606188 5834738.365039496),210051545,Roxburgh Park - North
Lynbrook Primary School,POINT (346369.63123867987 5786924.939386258),212031306,Lynbrook - Lyndhurst
Laurimar Primary School,POINT (334615.95988583565 5838488.226417243),209041527,Doreen - North
Truganina South Primary School,POINT (299938.29940750136 5806777.548819593),213051588,Truganina - South West
Kororoit Creek Primary School,POINT (302138.0791016667 5821209.771833894),213041462,Burnside Heights
Harvest Home Primary School,POINT (323698.30668293353 5834237.947093824),209041433,Epping (Vic.) - West
Truganina P-9 College,POINT (299291.3106517029 5809622.077551018),213051588,Truganina - South West
Burnside Primary School,POINT (302017.4719691102 5820026.59841482),213041461,Burnside
