Facility Name,geometry,SA2_CODE21,SA2_NAME21
Knox Park Squash Centre,POINT (347348.1029909345 5810491.329722425),211011251,Bayswater
Personal Best Fitness Centre,POINT (347929.70301300916 5810971.644182047),211031263,Bayswater North
Kingston Links Golf Course,POINT (343390.71532906627 5801546.993922637),211011256,Rowville - Central
Tirhatuan Lakes Golf Course,POINT (344423.6491209811 5799151.675320033),211011258,Rowville - South
Waterford Valley Golf Course,POINT (347084.3202610542 5803590.272654381),211011254,Knoxfield - Scoresby
Waverley Golf Club,POINT (345112.98692721984 5799813.563984071),211011258,Rowville - South
Knox Gymnastics Centre,POINT (348387.45986660616 5805987.334484998),211011447,Ferntree Gully - North
Mountain Districts Gymnastics Centre,POINT (345285.4242580369 5810215.090307925),211011251,Bayswater
Knox School Hockey Facility,POINT (343416.21900256234 5807696.869766652),211011260,Wantirna South
Balmoral Gardens Bowls Club,POINT (344381.0623663878 5805321.332597694),211011260,Wantirna South
Bayswater Bowls Club,POINT (346310.62576677324 5809563.223088425),211011251,Bayswater
Boronia Bowls Club,POINT (349673.15603636566 5807842.481552567),211011446,Boronia
Ferntree Gully Bowling Club,POINT (349280.2906454986 5804995.021202336),211011448,Ferntree Gully (South) - Upper Ferntree Gully
Firestorm Dojo's,POINT (348005.69266239856 5809976.273430247),211011251,Bayswater
Golden Lion Academy,POINT (345723.68855342234 5802607.603045966),211011257,Rowville - North
Loong Fu Pai Martial Arts Academy,POINT (348918.2069106377 5803444.124227451),211011257,Rowville - North
Melbourne Taekwondo Centre,POINT (345635.775017745 5802605.947473934),211011257,Rowville - North
Knox Regional Netball Centre,POINT (348682.2665762715 5805115.210885456),211011448,Ferntree Gully (South) - Upper Ferntree Gully
Egan Lee Reserve,POINT (345865.42045320146 5805716.223246096),211011254,Knoxfield - Scoresby
Big Slide Indoor Sport Play Centre,POINT (346666.087616647 5804583.140344702),211011254,Knoxfield - Scoresby
Alan Hammill's Squash Centre,POINT (347891.3115540502 5806648.814885022),211011447,Ferntree Gully - North
Beaver Swim School Pty Ltd,POINT (347686.6590417455 5808194.362220577),211011446,Boronia
AMF Boronia,POINT (349096.26193572104 5808109.3947062725),211011446,Boronia
AMF Knox Bowl,POINT (345651.6458001402 5807301.196284311),211011260,Wantirna South
Boronia Reserve Public Tennis Courts,POINT (349157.86424920947 5807807.609674776),211011446,Boronia
Coleman Road Reserve Tennis Courts,POINT (346326.1464633336 5808146.141065005),211011446,Boronia
Flamingo Reserve,POINT (343688.4987480131 5807285.353798869),211011260,Wantirna South
Glenfern Park,POINT (349280.2906454986 5804995.021202336),211011448,Ferntree Gully (South) - Upper Ferntree Gully
Goodlife Health Clubs - Tennis Courts,POINT (343157.5565913521 5808854.57993414),211011259,Wantirna
Knox City Tennis Club,POINT (345882.66818324337 5807899.174227102),211011260,Wantirna South
Otway Street Tennis Court,POINT (346078.72309580527 5804527.957060476),211011254,Knoxfield - Scoresby
Pancretan Association of Melbourne - Tennis Club,POINT (342846.69325998425 5807080.127387748),211011260,Wantirna South
Reta Matthews Reserve,POINT (348483.8423105268 5807338.098397886),211011447,Ferntree Gully - North
St Jude's Tennis Club,POINT (344064.1819998361 5804881.513360999),211011254,Knoxfield - Scoresby
Templer Tennis Club,POINT (347142.9449501921 5808980.685462536),211011251,Bayswater
Ross Watt Recreation Reserve,POINT (287382.6970172522 5850731.2185737975),210021232,Gisborne
Dixon Field,POINT (286265.9736157178 5848718.982880561),210021232,Gisborne
Bullengarook Recreation Reserve,POINT (280720.8080928088 5848445.640886613),210021232,Gisborne
Clarkefield Recreation Reserve,POINT (301029.24289393745 5848990.545355739),210021235,Romsey
Gardiner Reserve,POINT (287198.2544166307 5848405.206559561),210021232,Gisborne
JD Clifford Reserve,POINT (284036.26274284755 5855720.060678609),210021233,Macedon
Lancefield Park,POINT (298238.6668027095 5871582.255424149),210021235,Romsey
Riddells Creek Recreation Reserve,POINT (295177.59011464036 5851359.447746197),210021234,Riddells Creek
Romsey Recreation Reserve,POINT (300762.51503986784 5863582.776766332),210021235,Romsey
Sankey Reserve,POINT (287223.6172920356 5848814.706647426),210021232,Gisborne
Tony Clarke Reserve,POINT (285197.6984360685 5856056.754843365),210021233,Macedon
Macedon Community Centre,POINT (285246.27528105583 5856055.118824021),210021233,Macedon
Riddells Creek Leisure Centre,POINT (295143.7188421202 5851343.958150787),210021234,Riddells Creek
Romsey Recreation Centre,POINT (300687.40352547844 5863480.39695226),210021235,Romsey
Red Rock Circuit,POINT (293735.84692657785 5843460.588543112),210041541,Sunbury - West
South Gisborne Loop,POINT (294196.11914771615 5843370.520559073),210041541,Sunbury - West
Wombat Track,POINT (276986.00281613105 5854817.884756463),210021232,Gisborne
Barringo Recreation Reserve,POINT (289951.8947027059 5855882.605052803),210021232,Gisborne
IR Robertson Recreation Reserve,POINT (288490.71828583494 5842604.904387714),210021232,Gisborne
Riddells Creek Pony Club,POINT (297123.8001258901 5851285.070832359),210021235,Romsey
Contours Express Gisborne,POINT (287014.115064268 5848408.822158014),210021232,Gisborne
Gisborne Golf Club,POINT (285564.72709592915 5847149.56737511),210021232,Gisborne
Lancefield Golf Club,POINT (297793.4346432013 5874200.188367691),210021235,Romsey
Mount Macedon Golf Club,POINT (285940.1010539768 5856583.2976428475),210021233,Macedon
Romsey Golf Club,POINT (300983.1915153931 5863579.706383942),210021235,Romsey
Jets Gymnastics,POINT (288051.0681492089 5851796.916408701),210021232,Gisborne
Gisborne & District Bowling Club,POINT (287375.8965885234 5848271.503496373),210021232,Gisborne
Lancefield Bowling Club,POINT (298275.99249256635 5871671.7528247135),210021235,Romsey
Macedon Ranges Bowling Club,POINT (285333.39375700394 5856001.286124079),210021233,Macedon
Romsey Bowls Club,POINT (300662.7824679832 5863724.954730803),210021235,Romsey
Gisborne Aquatic Centre,POINT (287053.5107579294 5848598.155787906),210021232,Gisborne
Gisborne South Swimming Centre,POINT (290730.8196008283 5841367.620877963),210021232,Gisborne
Lancefield Memorial Swimming Pool,POINT (298095.307326662 5871655.52249198),210021235,Romsey
Gisborne Secondary College,POINT (286511.429367014 5847181.9214850245),210021232,Gisborne
Gilligan Recreation Reserve,POINT (291411.31148220936 5840856.209115988),210021232,Gisborne
Bulleen Park ,POINT (330381.07211407286 5817530.358838489),207021156,Bulleen
Rieschiecks Reserve ,POINT (336819.54745030665 5817045.042441054),207021424,Doncaster East - North
Colman Park ,POINT (344775.8941583628 5818655.435223802),211021262,Warrandyte - Wonga Park
Domeney Reserve ,POINT (343132.4960504732 5817725.746158817),211021261,Donvale - Park Orchards
Doncaster Reserve ,POINT (337218.61777556903 5816027.247493079),207021425,Doncaster East - South
Donvale Reserve ,POINT (339389.1835505293 5815425.841551232),211021261,Donvale - Park Orchards
Koonung Park ,POINT (331609.66641686717 5817047.925825434),207021156,Bulleen
Marcellin College,POINT (331090.2956243794 5817432.594583738),207021156,Bulleen
Schramms Reserve ,POINT (335648.20738503203 5816672.626615961),207021157,Doncaster
Serpells Community Reserve ,POINT (337275.9356326675 5818097.306667798),207021159,Templestowe
Stintons Reserve ,POINT (341839.289133252 5818443.283443827),211021261,Donvale - Park Orchards
Ted Ajani Reserve ,POINT (333245.38843757985 5818232.930975252),207021160,Templestowe Lower
Templestowe Reserve ,POINT (335912.144963546 5819805.167765706),207021159,Templestowe
Timber Ridge Reserve ,POINT (333265.8540167676 5817330.957010139),207021157,Doncaster
Warrandyte Reserve ,POINT (342171.60627371457 5820894.252332292),211021262,Warrandyte - Wonga Park
Wilsons Road Reserve ,POINT (333601.4036213623 5815625.771375278),207021157,Doncaster
Zerbes Reserve ,POINT (337973.67327516846 5817182.171256414),207021424,Doncaster East - North
Doncaster Badminton Centre,POINT (335499.9007831755 5816316.994734375),207021157,Doncaster
Manningham Donvale Indoor Sports Centre,POINT (339568.63393660786 5814873.764455723),211021261,Donvale - Park Orchards
Deep Creek Reserve,POINT (339194.57144779625 5820224.086494859),207021424,Doncaster East - North
Doncaster Leeds Street Sports Centre,POINT (337218.61777556903 5816027.247493079),207021425,Doncaster East - South
Park Orchards Community Centre,POINT (342843.86400459684 5817212.742575856),211021261,Donvale - Park Orchards
Templestowe Heights Primary School,POINT (334413.1529060262 5818413.344101632),207021160,Templestowe Lower
Templestowe Leisure Centre,POINT (335151.84351393057 5819335.642625133),207021159,Templestowe
The Veneto Club,POINT (330696.25951383146 5817719.124160621),207021156,Bulleen
Wonga Park Reserve ,POINT (347320.31199316995 5821706.047986719),211021262,Warrandyte - Wonga Park
Boronia Grove Reserve,POINT (337371.60021830915 5814865.818649853),207021425,Doncaster East - South
Burgundy Drive Reserve ,POINT (334335.12085815694 5816983.216136046),207021157,Doncaster
Buck Reserve,POINT (340291.91838283476 5818544.632263983),211021261,Donvale - Park Orchards
Aquarena,POINT (334726.29490680026 5817616.383462226),207021160,Templestowe Lower
Contours Doncaster,POINT (337077.3319654676 5815981.825624253),207021425,Doncaster East - South
Definition Fitness Centre,POINT (338407.19110563956 5817440.784990201),207021424,Doncaster East - North
Fernwood Bulleen,POINT (332037.8833846949 5818309.303073681),207021156,Bulleen
Gracie Jiu-Jitsu Templestowe,POINT (335086.9187666149 5819466.330623191),207021159,Templestowe
RivvaPT,POINT (343504.31327926565 5821827.978886355),211021262,Warrandyte - Wonga Park
Eastern Golf Club,POINT (333842.4334489654 5816175.248838834),207021157,Doncaster
Yarra Valley Country Club,POINT (331236.0321120091 5819385.582404098),207021156,Bulleen
Mullum Mullum Reserve ,POINT (340086.3674364827 5818474.930253961),211021261,Donvale - Park Orchards
Trinity Grammar Sports Ground,POINT (331383.9581096225 5817614.452866661),207021156,Bulleen
Doncaster Bowling Club ,POINT (335596.5407596495 5816396.630446663),207021157,Doncaster
Templestowe Bowls Club,POINT (334659.3451622709 5819516.595782183),207021159,Templestowe
Bulleen Bowl,POINT (332616.3744553813 5818887.8903426835),207021160,Templestowe Lower
Park Avenue Reserve ,POINT (332801.5941449685 5816372.082783885),207021157,Doncaster
Petty's Reserve,POINT (337202.853482415 5819124.550844607),207021159,Templestowe
Westerfolds Sports Centre,POINT (334757.2961219285 5819492.918014817),207021159,Templestowe
Doncaster Tennis Club,POINT (336184.2215917154 5816110.515794769),207021157,Doncaster
Hillcrest Tennis Club,POINT (341125.27362602606 5814627.350174326),211021261,Donvale - Park Orchards
Park Orchards Reserve  ,POINT (342722.31133586273 5817261.926491018),211021261,Donvale - Park Orchards
Pennell Reserve,POINT (310753.09359655087 5816825.9748043325),213031347,Braybrook
Dobson Reserve,POINT (312168.4228741132 5815623.009026576),213031347,Braybrook
Hanmer Reserve,POINT (315065.7828991122 5812937.027524979),213031352,Yarraville
Hansen Reserve,POINT (312729.9360444929 5813816.2178044785),213031351,West Footscray - Tottenham
Kevin Shorten Reserve,POINT (313217.2285825003 5814826.29715926),213031351,West Footscray - Tottenham
Kinder Smith Reserve,POINT (310637.17039081943 5815954.195474157),213031347,Braybrook
Maribyrnong Reserve,POINT (314635.19868500903 5817855.986914162),213031349,Maribyrnong
McIvor Reserve,POINT (312477.1115129164 5811865.846522039),213031352,Yarraville
Mervyn G Hughes Oval,POINT (315099.0013743843 5815468.323824456),213031348,Footscray
Whitten Oval,POINT (313952.2204710834 5814274.839891184),213031348,Footscray
Yarraville Oval,POINT (313757.1108948775 5812612.942977157),213031352,Yarraville
Footscray Nicholson Recreation Centre (Vic Uni),POINT (314964.3601328862 5813780.632822251),213031348,Footscray
Footscray Park Aquatic and Fitness Centre (Vic Uni),POINT (314921.81538103084 5815084.531141102),213031348,Footscray
RecWest Braybrook,POINT (310559.6122635311 5816016.139982771),213031347,Braybrook
RecWest Footscray,POINT (313331.72591870883 5814746.293418342),213031351,West Footscray - Tottenham
Rogers Reserve,POINT (312752.5031379791 5815600.124457251),213031347,Braybrook
Skinner Reserve,POINT (311149.39190764335 5815616.120800076),213031347,Braybrook
Action Indoor Sports,POINT (314181.8911554546 5815577.564779155),213031348,Footscray
Yarraville BXM,POINT (313105.7786982303 5812240.773725824),213031352,Yarraville
Footscray Boat Club,POINT (315268.06301902106 5815312.025762419),213031348,Footscray
Angliss Reserve,POINT (312503.38410380366 5812281.681559581),213031352,Yarraville
Footscray Park,POINT (315273.88166142337 5815162.71975329),213031348,Footscray
Henry Turner South Reserve,POINT (315066.10887376365 5815230.439820666),213031348,Footscray
Robert Barrett Reserve,POINT (313859.3683544316 5816674.407377558),213031349,Maribyrnong
Scovell Reserve,POINT (313131.1881679762 5816015.968939753),213031347,Braybrook
Victoria University of Technology,POINT (298361.5902945319 5803702.935550449),213051368,Werribee - South
Anytime Fitness West Footscray,POINT (311811.83236581384 5814844.9006796405),213031347,Braybrook
Crunch Fitness,POINT (313869.9154447173 5816967.970156172),213031349,Maribyrnong
Derrimut 24/7 Gym,POINT (311669.63442540565 5816427.425857415),213031347,Braybrook
Focus Health and Fitness Yarraville,POINT (315081.8642958626 5813208.9522155),213031348,Footscray
Fusion Martial Arts & Fitness,POINT (314832.27300596796 5811916.794382583),213031352,Yarraville
Genesis Fitness Maidstone,POINT (313300.62682816945 5816960.41020687),213031347,Braybrook
Maidstone Health Club,POINT (311663.48954048 5816376.324588941),213031347,Braybrook
Maribyrnong Aquatic Centre,POINT (313883.1636517697 5816845.810647753),213031349,Maribyrnong
United Force Gymnasium,POINT (312739.03248916543 5814600.816529261),213031351,West Footscray - Tottenham
Zoo Fitness - Braybrook,POINT (311640.6370268606 5816381.464029696),213031347,Braybrook
Medway Golf Club,POINT (312378.62376712076 5816807.443391),213031347,Braybrook
Footscray Park Bowling Club,POINT (314773.120688123 5815103.056897957),213031348,Footscray
Rosamond Bowling Club,POINT (313781.49887634965 5816669.204680722),213031349,Maribyrnong
Sunshine VRI Bowling Club,POINT (310560.75103547086 5815074.772217277),213031347,Braybrook
Yarraville Footscray Bowling Club,POINT (312494.5375445351 5812094.179639752),213031352,Yarraville
Johnson Reserve,POINT (312933.6541700999 5815100.303206895),213031351,West Footscray - Tottenham
Legacy Taekwon-Do,POINT (311773.00931710436 5816438.561140731),213031347,Braybrook
Highpoint AMF Bowling,POINT (314181.8911554546 5815577.564779155),213031348,Footscray
Chruickshank Park,POINT (313034.278469038 5812247.807910493),213031352,Yarraville
Griff Hunt Reserve,POINT (349583.1919320883 5818824.759306045),211031265,Croydon Hills - Warranwood
Contours Croydon,POINT (348357.0880317101 5815690.113366232),211031451,Croydon - West
Croydon Leisure & Aquatic Centre,POINT (348648.21258166945 5814861.098238815),211031450,Croydon - East
Curves Croydon,POINT (348710.52110551903 5815510.363412933),211031450,Croydon - East
Curves Ringwood,POINT (343504.22773785924 5813061.642718233),211031266,Ringwood
Genesis Fitness Club Ringwood,POINT (343729.70137391594 5813133.420207829),211031266,Ringwood
Jetts Fitness Ringwood,POINT (343650.14589329547 5812950.1974631855),211031266,Ringwood
Personal Fitness Centre Bayswater,POINT (347937.12659235357 5810993.870486367),211031263,Bayswater North
Tone and Trim Zone,POINT (345781.1263076756 5813470.187590621),211031267,Ringwood East
Proclamation Park,POINT (343582.3079282517 5811730.32430119),211031266,Ringwood
Town Park,POINT (348842.0110772175 5814782.411434161),211031450,Croydon - East
Ainslie Park,POINT (347149.51709159574 5815469.306202442),211031451,Croydon - West
Barngeong Reserve,POINT (350759.2753287252 5817535.50409065),211031451,Croydon - West
Benson Oval (Eastfield Park),POINT (348528.911792745 5814021.9734464865),211031450,Croydon - East
Cheong Park,POINT (347600.09134836483 5813926.783324376),211031450,Croydon - East
Croydon Park,POINT (348909.1646849362 5815235.740730315),211031450,Croydon - East
East Ringwood Reserve,POINT (345621.1395790183 5814027.405939387),211031267,Ringwood East
HE Parker Reserve,POINT (346320.218663643 5811017.290994665),211031267,Ringwood East
Heathmont Reserve,POINT (344830.3555954209 5811206.4106926825),211031267,Ringwood East
Hughes Park,POINT (350038.6534771014 5818592.755093958),211031265,Croydon Hills - Warranwood
Lipscombe Park,POINT (347493.43500938115 5816674.142989298),211031451,Croydon - West
Mullum Mullum Reserve,POINT (344848.28888267116 5814404.142455347),211031266,Ringwood
North Ringwood Reserve,POINT (344934.5645396263 5815438.743427149),211031268,Ringwood North
Quambee Reserve,POINT (345551.5345485114 5816858.939602676),211031268,Ringwood North
John Frost Stadium,POINT (347499.2690128507 5813864.419876777),211031450,Croydon - East
Maroondah Indoor Sports Centre,POINT (343501.8687250309 5811201.531245522),211031266,Ringwood
Arrabri Reserve,POINT (349932.92694802035 5811590.326447169),211031263,Bayswater North
Ringwood Skate Park,POINT (343746.84550151834 5813190.468034817),211031266,Ringwood
Yarrunga Reserve,POINT (347680.26283782755 5817760.948586234),211031265,Croydon Hills - Warranwood
Belmont Park,POINT (348808.78060143837 5813274.774722042),211031452,Croydon South
Dorset Recreation Reserve,POINT (349756.94951838057 5814191.791380395),211031450,Croydon - East
Glen Park,POINT (348104.80988573364 5811113.965373989),211031263,Bayswater North
Gracedale Park,POINT (347160.26447300136 5812464.636686504),211031267,Ringwood East
Greenwood Park,POINT (344327.65538285644 5812880.356513391),211031266,Ringwood
J. W. Manson Reserve,POINT (344871.601062819 5810378.783901043),211011259,Wantirna
Peter Verges Reserve,POINT (346268.97269325703 5815336.908122068),211031266,Ringwood
Silcock Reserve,POINT (349253.94339002576 5816228.724466449),211031451,Croydon - West
Action Indoor Sports Ringwood,POINT (343344.9432058566 5811956.5777510805),211031266,Ringwood
Ringwood Croquet Club,POINT (344507.63975513226 5812545.207502399),211031266,Ringwood
Mountain District Horse & Pony Club,POINT (348192.06886431854 5813821.293194781),211031450,Croydon - East
CrossFit Ringwood,POINT (343567.26512247603 5813247.438783167),211031266,Ringwood
Dorset Golf Course,POINT (350167.9751871858 5814166.322527689),211031450,Croydon - East
Ringwood Golf Course,POINT (343703.53887962666 5811179.72789615),211031266,Ringwood
Springfield Gridiron Field,POINT (349093.380105763 5815175.630445391),211031450,Croydon - East
Eclipse Gymnastics Ringwood,POINT (346042.05228206236 5814966.365199914),211031266,Ringwood
Yarra Valley Grammar School,POINT (346768.59255465586 5816688.543524006),211031266,Ringwood
Croydon Bowling Club,POINT (348731.8852233483 5815019.03376357),211031450,Croydon - East
Eastwood Golf Bowls Club,POINT (351794.27944386395 5811127.502838851),211031263,Bayswater North
Heathmont Bowls Club,POINT (346091.32944526407 5811078.3864471475),211031267,Ringwood East
Ringwood Bowls Club,POINT (344115.31351243984 5814355.208656313),211031268,Ringwood North
Croydon Memorial Pool,POINT (349109.2710027008 5815312.893459649),211031450,Croydon - East
Ringwood Aquatic Centre,POINT (344352.5536007412 5812109.476958711),211031266,Ringwood
Parkwood Tennis Club,POINT (345516.7304372434 5817070.518800491),211031268,Ringwood North
Ringwood Catholic Tennis Club,POINT (344828.9994908016 5812290.204033986),211031266,Ringwood
Ringwood Tennis Club,POINT (344406.48389299354 5812474.583601452),211031266,Ringwood
Etihad,POINT (319304.6778295378 5812554.326320639),206041118,Docklands
Fawkner Park,POINT (322395.83504598 5809973.128304556),206041125,South Yarra - West
Goschs Paddock,POINT (322809.1438722119 5811596.361345328),206041119,East Melbourne
JJ Holland Park,POINT (317236.7118194479 5814588.160371597),206041121,Kensington (Vic.)
MCG,POINT (322451.80984378036 5812219.674692642),206041119,East Melbourne
North Melbourne Football Ground,POINT (318745.0450476116 5814485.640353431),206041506,North Melbourne
Punt rd Recreation Reserve & Community Pool,POINT (322908.7311768931 5811993.174499511),206041119,East Melbourne
Royal Park,POINT (319424.4665209912 5816262.126590157),206041124,Parkville
Visy Park,POINT (320420.81396207644 5816068.991193607),206071140,Carlton North - Princes Hill
Carlton Baths Community Centre,POINT (321174.29151456035 5815222.785587596),206041117,Carlton
Kensington Community Recreation Centre,POINT (317272.50667813275 5814769.3650094345),206041121,Kensington (Vic.)
North Melbourne Community Centre,POINT (318614.1775550778 5815127.228138421),206041506,North Melbourne
North Melbourne Recreation Centre,POINT (318809.59302540857 5814458.752104579),206041506,North Melbourne
State Netball & Hockey Centre,POINT (319424.4665209912 5816262.126590157),206041124,Parkville
Kings Domain,POINT (321847.5908526918 5810813.878727088),206041507,Royal Botanic Gardens Victoria
Newmarket Reserve,POINT (317152.46289964026 5815659.975113587),206041121,Kensington (Vic.)
Melbourne Park,POINT (322132.14036254666 5812072.659764813),206041119,East Melbourne
Active Melbourne City Sports,POINT (319308.5852575135 5812340.476524691),206041118,Docklands
Beach House City Express,POINT (320643.01475029933 5813378.082469675),206041504,Melbourne CBD - North
Corporate Fitness Club,POINT (320759.7630281149 5812479.154854214),206041505,Melbourne CBD - West
Equilibrium Health & Fitness,POINT (319448.54377798934 5813904.268256137),206041506,North Melbourne
Fitness First Melbourne CBD Bourke St,POINT (320747.03646022774 5812816.485871686),206041503,Melbourne CBD - East
Fitness First Melbourne Central,POINT (320669.4309050223 5813208.799715573),206041504,Melbourne CBD - North
Fitness First QV Platinum,POINT (320995.39269181574 5813334.913528644),206041504,Melbourne CBD - North
South Pacific Health Club Melbourne CBD,POINT (320217.53276504646 5812671.591108562),206041505,Melbourne CBD - West
TKO Fitness,POINT (319257.6246804104 5813553.138133921),206041510,West Melbourne - Residential
Westpac Centre,POINT (322388.3041404582 5811718.833997055),206041119,East Melbourne
Beaurepaire Hockey Field,POINT (320513.71472968406 5814920.199195426),206041124,Parkville
City of Melbourne Bowls Club,POINT (319932.23816978507 5813304.264988389),206041510,West Melbourne - Residential
Flagstaff Gardens,POINT (319932.23816978507 5813304.264988389),206041510,West Melbourne - Residential
AAMI Park,POINT (322388.3041404582 5811718.833997055),206041119,East Melbourne
Docklands Yacht Club,POINT (318446.45677067805 5812105.54722104),206041118,Docklands
Melbourne International Shooting Club,POINT (316400.02805661084 5811051.456343398),206051511,Port Melbourne Industrial
Carlton Gardens Tennis Club ,POINT (321536.5010263052 5814181.529866738),206041117,Carlton
Kensington Banks Tennis Club,POINT (316496.44348753674 5814935.611971267),206041121,Kensington (Vic.)
Brookside Recreation Reserve,POINT (300578.55665440747 5820176.336312826),213041463,Caroline Springs
Mount Carberry Reserve,POINT (286060.00513562374 5823951.209008328),213041578,Melton South - Weir Views
Bridge Road Sports Precinct,POINT (287226.5248916139 5822951.641513083),213041572,Cobblebank - Strathtulloh
Melton South Recreation Reserve,POINT (286361.70726295875 5823788.679605082),213041578,Melton South - Weir Views
Arnolds Creek Recreation Reserve,POINT (283600.3500250972 5828275.487791497),213041358,Melton West
Blackwood Drive Recreation Reserve,POINT (285927.7620177404 5825556.95285338),213041578,Melton South - Weir Views
Burnside Heights Recreation Reserve,POINT (302149.9506325644 5821067.824005583),213041462,Burnside Heights
Caroline Springs Town Centre Recreation Reserve,POINT (300601.99920414767 5821383.50948265),213041463,Caroline Springs
Diggers Rest Recreation Reserve,POINT (297779.1073750077 5833759.025025243),210041539,Diggers Rest
Hillside Recreation Reserve,POINT (300573.45232818916 5826756.05627756),213041575,Hillside
MacPherson Park Recreation Reserve,POINT (285741.40988045745 5831750.9176046895),213041576,Kurunjang - Toolern Vale
Melton Recreation Reserve,POINT (287367.9305182894 5826373.58705719),213041577,Melton
Rockbank Recreation Reserve,POINT (293773.5433834598 5821280.401811333),213041359,Rockbank - Mount Cottrell
Caroline Springs Leisure Centre,POINT (300836.02964292304 5821449.5677514775),213041463,Caroline Springs
Banchory Avenue Tennis Court,POINT (301520.1671514783 5826371.148988105),213041575,Hillside
Eynesbury Tennis Centre,POINT (285338.7244734918 5817212.648520842),213041573,Eynesbury - Exford
Melton Indoor Recreation Centre,POINT (285525.04203688155 5826738.808506043),213041358,Melton West
Melton Indoor Sports Stadium,POINT (285525.04203688155 5826738.808506043),213041358,Melton West
Kurunjang Park Recreation Reserve,POINT (286902.34739584185 5827854.255019526),213041576,Kurunjang - Toolern Vale
Westlakes Recreation Reserve,POINT (283838.69252891873 5826888.630704898),213041358,Melton West
Melton Equestrian Park,POINT (284414.72449496976 5831504.135131176),213041576,Kurunjang - Toolern Vale
Body Style World of Health & Fitness,POINT (286696.8787226238 5826380.381072938),213041577,Melton
Contours Caroline Springs Fitness Studio,POINT (300980.9053207557 5821504.807269486),213041463,Caroline Springs
Genisis Melton,POINT (285291.02136958705 5824562.097474134),213041571,Brookfield
Healthy Inspirations Melton,POINT (287884.6136655377 5826522.013184689),213041577,Melton
Inch by Inch Body Toning,POINT (286558.3449895736 5824693.239380093),213041578,Melton South - Weir Views
Melton Waves Leisure Centre,POINT (285717.28329795337 5827085.042404624),213041577,Melton
Obsessed with Fitness,POINT (302210.6374372782 5817203.448153418),213041359,Rockbank - Mount Cottrell
Eynesbury Golf Club,POINT (285338.7244734918 5817212.648520842),213041573,Eynesbury - Exford
Melton Golf Range,POINT (288728.1227191269 5824914.288856814),213041572,Cobblebank - Strathtulloh
Melton Valley Golf Course,POINT (287979.43324052496 5826860.911247807),213041577,Melton
Gymnastics Unlimited Caroline Springs,POINT (301990.6292453676 5817878.68430577),213041359,Rockbank - Mount Cottrell
Heathdale Christian College (Formerly Mowbray College),POINT (286668.6359308307 5828089.525702585),213041576,Kurunjang - Toolern Vale
Mowbray College,POINT (286656.20780345274 5828051.227462926),213041576,Kurunjang - Toolern Vale
Diggers Rest Bowling Club,POINT (298942.0144381567 5832830.576640615),210041539,Diggers Rest
Melton Bowling Club,POINT (287709.44035108486 5826432.563877748),213041577,Melton
Mount Cottrell Bowls Club,POINT (289944.69506575784 5820451.3089415245),213041359,Rockbank - Mount Cottrell
Westside Martial Arts,POINT (301570.53256688325 5817746.881156836),213041359,Rockbank - Mount Cottrell
Melton Pistol Club,POINT (283798.96774568764 5823057.867787667),213041571,Brookfield
Cambrian Way Skate Park,POINT (284180.53746622533 5827350.753552077),213041358,Melton West
Melton South Skate Park,POINT (285333.4466675668 5824118.235516477),213041578,Melton South - Weir Views
Springside Recreation Reserve,POINT (300517.1552791801 5823750.9163283855),213041360,Taylors Hill
Melton Squash Central,POINT (286787.2574668157 5826321.861812396),213041577,Melton
Squash Logic Melton,POINT (287530.47584659257 5826212.757757485),213041577,Melton
State Swim Caroline Springs,POINT (300732.6545095714 5821242.546138542),213041463,Caroline Springs
Swimmers Learn to Swim,POINT (286299.0046754674 5824704.408208311),213041578,Melton South - Weir Views
YMCA Kororoit Creek,POINT (301918.3266093635 5821257.791201081),213041462,Burnside Heights
Melton Table Tennis Association (Victoria University),POINT (285410.42484398367 5823885.817076394),213041578,Melton South - Weir Views
Parkwood Green Recreation Reserve,POINT (301312.22754025314 5825218.407437549),213041575,Hillside
Springlake Avenue Tennis Court,POINT (300622.3958033972 5819228.054893037),213041463,Caroline Springs
Sugar Gum Drive Tennis Court,POINT (300360.4862922953 5825323.358456356),213041575,Hillside
Toolern Vale Tennis Courts,POINT (287804.0005572421 5834959.135859976),213041576,Kurunjang - Toolern Vale
West Melton Tennis Courts,POINT (285180.5474628613 5826624.695690937),213041358,Melton West
Beveridge Reserve,POINT (321396.90504706185 5850549.14078415),209041224,Wallan
Contours Wallan,POINT (321021.1901908996 5857057.971739192),209041224,Wallan
Totally Fit,POINT (321140.8615130763 5857671.095020244),209041224,Wallan
Greenhill Reserve,POINT (321311.99881228677 5856453.20615319),209041224,Wallan
LB Davern Reserve,POINT (325671.46992009104 5863619.682028692),209041224,Wallan
RB Robson Stadium,POINT (321304.91578634677 5857135.101250391),209041224,Wallan
Wandong Memorial Stadium,POINT (325617.4959515768 5863560.722264895),209041224,Wallan
Hidden Valley Golf & Country Club,POINT (322451.9216932369 5859474.132808853),209041224,Wallan
Wallan Bowling Club,POINT (321431.9674842615 5856556.5730026),209041224,Wallan
Wallan Skate Park,POINT (321326.20809704834 5857195.16979999),209041224,Wallan
Wallan Tennis Club,POINT (321236.57478258334 5857254.194042418),209041224,Wallan
Davies Reserve,POINT (333287.18250781874 5801363.81185105),212051326,Oakleigh - Huntingdale
