Facility Name,geometry,SA2_CODE21,SA2_NAME21
Elsternwick Golf Course,POINT (323605.8786454712 5804947.897097102),208011169,Brighton (Vic.)
Elsternwick Public Golf Course,POINT (323575.9489289264 5805071.260578125),208011169,Brighton (Vic.)
Royal Melbourne Golf Club,POINT (326990.4902730066 5795584.4871557765),208011168,Beaumaris
Sandringham Golf Links,POINT (326990.4902730066 5795584.4871557765),208011168,Beaumaris
Victoria Golf Club,POINT (328443.37362172094 5795991.111991993),208011171,Highett (West) - Cheltenham
Brighton Secondary College,POINT (325825.1027426612 5801005.717002826),208011170,Brighton East
Black Rock Bowling Club,POINT (326039.40558305895 5796142.155827353),208011173,Sandringham - Black Rock
Brighton Beach Lawn Bowls Club,POINT (323337.0006178301 5800279.321275838),208011169,Brighton (Vic.)
Brighton Bowls Club,POINT (323242.4831764535 5801908.818787397),208011169,Brighton (Vic.)
F L Yott Reserve,POINT (327775.33434191754 5793343.083495174),208011168,Beaumaris
Hampton Bowls Club,POINT (325575.0047735544 5799246.5401618825),208011172,Hampton
Hampton R.S.L Bowling Club,POINT (323896.2826390215 5799800.886564939),208011172,Hampton
Hardie St Lawn Bowls Club,POINT (323910.03860133013 5799803.180760859),208011172,Hampton
Highett Bowls Club,POINT (328132.96678998723 5797684.807102903),208011171,Highett (West) - Cheltenham
Lyle Anderson Reserve,POINT (326606.9882842426 5798262.094787149),208011171,Highett (West) - Cheltenham
Sandringham Bowls Club,POINT (326258.3286405668 5796552.35748432),208011173,Sandringham - Black Rock
Beaumaris Motor Yacht Squadron,POINT (328243.43142966245 5793431.647903989),208011168,Beaumaris
Black Rock Yacht Club,POINT (325225.162481925 5795690.712122358),208011173,Sandringham - Black Rock
Hampton Sailing Club,POINT (323977.1892398023 5798299.87390809),208011173,Sandringham - Black Rock
Royal Brighton Yacht Club,POINT (322932.93819856213 5802333.555506035),208011169,Brighton (Vic.)
Sandringham Yacht Club,POINT (323944.69250925304 5798273.8625161415),208011173,Sandringham - Black Rock
Royal Avenue Reserve,POINT (325591.4655618841 5796857.452736832),208011173,Sandringham - Black Rock
Beaumaris Life Saving Club,POINT (327255.0795251378 5792975.068122154),208011168,Beaumaris
Black Rock Life Saving Club,POINT (325619.5895470212 5795143.042321864),208011173,Sandringham - Black Rock
Brighton  Life Saving Club,POINT (323017.11685753963 5801441.780857241),208011169,Brighton (Vic.)
Half Moon Bay Surf Life Saving Club,POINT (325300.5659217704 5795777.252679955),208011173,Sandringham - Black Rock
Hampton Life Saving Club,POINT (324066.0604782244 5799175.7259985395),208011172,Hampton
